Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C42, C45, C47, C49, C9",0603,8,1u,
"C10, C12, C13, C14, C15, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C43, C44, C46, C48, C5, C50, C51, C53, C54, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82",0402,70,100n,
"C16, C17, C52, C55",0402,4,15p,
"D1, D2",D_SMA,2,SS14,
"J1, J2, J3, J4",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,4,USB_C_Receptacle_USB2.0_16P,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED5, LED6, LED7, LED8, LED9",LED_6028R,42,SK6812MINI-E,
"MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_12, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_11, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_10, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_9, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_8, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_7, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_6, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_5, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_4, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_3, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_2, MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING",Corne_mousebites,12,Corne_mousebites,
"R1, R13, R14, R2",0402,4,5.1k,
"R10, R11, R3, R4",0402,4,27,
"R12, R16, R5, R8",0402,4,10k,
"R15, R6, R7, R9",0402,4,1k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW5, SW6, SW7, SW8, SW9",SW_Redragon_LowProfile_PCB_1.00u,42,SW_Push,
"SW98, SW99",SW_TS-1088_XNP,2,TS-1088-AR02016,
"U1, U9",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
"U10, U2",SOT-223-3_TabPin2,2,TLV1117-33,
"U11, U4, U5, U8",SOT-23-6,4,USBLC6-2SC6,
"U12, U6",SOT-363_SC-70-6,2,SN74LVC1T45DCK,
"U3, U7",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GNDB24,
